1965	3549
1966	3622
1967	3561
1968	3596
1969	3593
1970	3574
1971	3527
1972	3531
1973	3478
1974	3539
1975	3516
1976	3534
1977	3581
1979	3584
1980	3553
1981	3578
1984	3561
1985	3566
1986	3564
1987	3588
1988	3605
1989	3551
1991	3512
1992	3531
1993	3556
1994	3603
1995	3582
1996	3568
1997	3571
1998	3586
1999	3573
2000	3636
2001	3630
2002	3604
2005	3535
2006	3629
2007	3602
2008	3638
2009	3636
2010	3635
2011	3586
2012	3610
2013	3631
2014	3689
2016	3629
2017	3591
2018	3633
